iter	Logloss
0	0.6630968292
1	0.6347420606
2	0.6135360431
3	0.5958557117
4	0.5789939308
5	0.5568907158
6	0.5378679774
7	0.522601781
8	0.5087498092
9	0.5009269552
10	0.4841922246
11	0.4746953454
12	0.4681778336
13	0.4612541215
14	0.4532991925
15	0.4450862515
16	0.4375270722
17	0.4308884506
18	0.4254128283
19	0.4213425179
20	0.4177958423
21	0.4131347126
22	0.4089652833
23	0.4055672268
24	0.4030117658
25	0.3997707655
26	0.3945503502
27	0.3909570557
28	0.3874681318
29	0.3842158677
30	0.381729479
31	0.3793464262
32	0.3760955513
33	0.3744324927
34	0.3711698045
35	0.3690637649
36	0.3659460799
37	0.3637044162
38	0.3621687524
39	0.360126892
40	0.3580018649
41	0.3567635928
42	0.3544761246
43	0.3505973025
44	0.3495148669
45	0.3476524861
46	0.3462576518
47	0.3445400149
48	0.3427600448
49	0.340840239
50	0.3381709769
51	0.3364197422
52	0.3339518157
53	0.3311018055
54	0.329415177
55	0.328068693
56	0.3269127267
57	0.3252680911
58	0.32430891
59	0.3212164586
60	0.3201323356
61	0.3189119602
62	0.3178598748
63	0.3169985344
64	0.3154375788
65	0.3142858335
66	0.3130731561
67	0.3115498335
68	0.3106750817
69	0.3104327018
70	0.3094917579
71	0.3084259693
72	0.3070030553
73	0.3052638988
74	0.3043253937
75	0.3038159023
76	0.3029092539
77	0.3014590892
78	0.2992313808
79	0.2984094253
