iter	Passed	Remaining
0	65	5168
1	130	5080
2	226	5802
3	308	5860
4	377	5660
5	450	5552
6	527	5504
7	604	5441
8	678	5350
9	762	5339
10	837	5254
11	920	5217
12	1004	5175
13	1096	5170
14	1197	5188
15	1282	5129
16	1376	5100
17	1471	5068
18	1557	4999
19	1653	4959
20	1740	4889
21	1826	4816
22	1909	4733
23	2003	4673
24	2101	4624
25	2190	4549
26	2308	4531
27	2393	4444
28	2475	4354
29	2557	4262
30	2657	4200
31	2752	4128
32	2842	4048
33	2937	3974
34	3030	3896
35	3125	3820
36	3225	3748
37	3309	3657
38	3405	3580
39	3492	3492
40	3591	3416
41	3676	3326
42	3759	3234
43	3850	3150
44	3950	3072
45	4043	2988
46	4129	2899
47	4215	2810
48	4329	2738
49	4431	2658
50	4516	2568
51	4627	2491
52	4718	2403
53	4815	2318
54	4927	2239
55	5026	2154
56	5108	2061
57	5205	1974
58	5304	1887
59	5392	1797
60	5476	1705
61	5557	1613
62	5643	1522
63	5755	1438
64	5869	1354
65	5960	1264
66	6057	1175
67	6145	1084
68	6230	993
69	6272	896
70	6303	799
71	6425	713
72	6507	623
73	6587	534
74	6675	445
75	6731	354
76	6816	265
77	6905	177
78	6999	88
79	7098	0
