"X1SEX","X1RACE","X1MOMRESP","X1MOMEDU","X1MOMRACE","X1DADRESP","X1DADEDU","X1DADRACE","X1HHNUMBER","X1SES","X1MTHUTI","X1MTHEFF","X1MTHINT","X1SCIUTI","X1SCIEFF","X1SCIINT","X1SCHOOLBEL","X1SCHOOLENG","X1STUEDEXPCT","X1PAREDEXPCT","X1TMRACE","X1TMCERT","X1LOCALE","X1REGION","X1SCHOOLCLI","X1COUPERTEA","X1COUPERCOU","X1COUPERPRI","X3TGPA9TH","S1NOHWDN","S1NOPAPER","S1NOBOOKS","S1LATE","S1PAYOFF","S1GETINTOCLG","S1AFFORD","S1WORKING","S1FRNDGRADES","S1FRNDSCHOOL","S1FRNDCLASS","S1FRNDCLG","S1HRMHOMEWK","S1HRSHOMEWK","S1HROTHHOMWK","S1SUREHSGRAD","P1BEHAVE","P1ATTEND","P1PERFORM","P1HWOFTEN","X4EVERDROP","X4PSENRSTLV"
"0","8","0","5","8","1","5","8","3",1.5644,1.31,0.95,0.12,-0.33,1.1,-0.23,0.84,-1.41,"8","6","8","1","4","2",0.6,-0.8,-1.85,-1.54,3.5,"2","3","3","3","4","3","4","2","1","1","1","1","1","1",1,"1","2","1","1","2","0","1"
"1","8","1","3","5","0","2","8","6",-0.3699,1.31,0.55,0.49,1.69,0.69,-0.67,0.05,-0.2,"11","6","8","1","4","1",0.32,-0.8,1.15,-1.61,4,"2","2","2","2","4","4","3","3","1","2","1","2","2","1",4,"1","1","1","1","1","0","0"
"1","3","1","7","3","0","0","0","3",1.2741,0.27,0.68,0.86,0.1,-0.05,0.93,0.37,1.39,"10","10","8","1","2","4",-0.61,0.81,-0.15,0,3.5,"1","1","1","1","2","2","2","4","1","1","1","1","2","2",2,"1","1","1","1","1","0","1"
"0","8","1","4","8","0","0","0","4",0.1495,-1.1,0.1,-0.96,-1.88,0.25,-1.5,-2.27,0.33,"6","10","8","1","1","3",-0.65,-0.25,0.14,0.05,3.5,"3","1","1","2","3","3","3","3","1","2","1","1","1","1",1,"1","1","1","1","1","1","2"
"1","8","1","3","8","0","3","8","6",1.0639,1.31,1.23,2.08,0.71,0.26,0.54,-0.52,0.96,"10","8","8","5","4","3",0.64,0.51,-0.9,0.69,3,"1","2","1","1","4","4","3","3","1","2","1","1","2","1",1,"1","1","1","1","4","0","1"
"1","8","1","2","8","0","0","0","2",-0.43,1.31,0.1,2.08,-0.89,-1.74,0.16,1.23,1.01,"8","11","8","1","4","1",-0.66,0.81,-0.56,0,2.5,"2","1","1","1","3","3","3","3","1","1","1","1","1","1",1,"1","1","2","2","2","1","0"
"0","8","1","5","8","0","7","8","3",1.5144,-0.7,-1.41,-1.13,0.28,0.25,-0.21,0.45,-0.2,"8","6","8","1","3","1",-0.32,-0.8,-0.33,-1.11,3.5,"2","2","2","2","4","4","3","2","1","1","1","1","1","1",2,"1","1","1","1","2","0","1"
"0","8","0","2","8","1","2","8","3",-0.3103,0.27,1.34,1.22,-1.5,0.25,-1.05,0.11,0.1,"11","11","8","1","3","3",-0.16,1,1.15,1.1,4,"2","2","2","1","2","3","3","1","2","2","1","2","1","1",2,"1","1","1","1","3","0","1"
"1","8","1","3","8","0","2","8","4",0.0451,-1.33,1.62,-0.18,-1.08,-0.91,-1.38,-0.29,0.71,"8","6","8","1","1","1",-0.36,1.27,0.68,1.1,3.5,"2","1","1","2","3","3","2","4","1","1","1","1","1","3",1,"1","1","2","1","2","0","1"
"0","8","0","5","8","1","3","8","6",1.2058,1.31,1.34,1.35,0.1,0.25,0.54,-0.04,-0.58,"8","6","8","1","2","3",0.61,-2.2,-1.38,-1.11,3.5,"3","2","2","2","4","3","4","4","1","1","1","1","3","1",1,"1","1","1","1","3","0","0"
"1","8","0","7","8","1","7","8","5",2.4996,-0.13,0.51,-0.36,-0.33,1.83,0.49,1,-0.17,"11","11","8","1","2","2",1.37,1.56,1.15,1.1,4,"4","2","1","1","4","4","3","3","1","1","1","1","2","1",3,"1","1","1","1","3","0","1"
"0","8","1","7","8","0","7","8","4",2.5668,0.27,1.62,-1.38,-0.89,1.1,0.16,0.85,1.01,"8","10","8","1","2","3",-1.77,-0.1,-0.27,0.03,3.5,"2","1","1","1","4","4","4","4","1","1","1","1","1","1",1,"1","1","1","1","1","0","1"
"1","3","1","2","3","0","0","0","2",-0.8837,-2.13,-2.09,-0.71,-3.1,-2.91,-1.47,-1.61,-1.74,"2","6","8","1","3","3",-0.73,0.03,-1.5,0.69,0.25,"4","2","3","3","2","3","2","3","2","2","1","1","1","1",1,"3","1","1","1","5","1","0"
"1","8","1","4","8","0","4","8","3",0.9973,-0.3,-1,0.19,0.1,0.38,0.54,0.77,-1.09,"11","10","3","1","1","3",1.22,1.56,1.15,0.75,4,"1","2","4","3","4","4","3","4","1","1","1","1","3","3",4,"1","1","1","1","3","0","1"
"1","8","1","3","8","0","2","8","4",0.0686,0.27,0.1,1.34,0.71,0.25,1.38,1.34,0.71,"4","6","8","1","4","2",0.32,0.03,-0.4,-0.31,3.5,"2","1","1","2","3","4","4","4","1","1","1","1","3","3",3,"1","1","1","1","3","0","1"
"0","8","0","4","8","1","7","8","5",1.3989,0.9,0.1,0.47,0.1,0.67,0.99,1.59,-0.17,"6","7","8","3","3","2",0.68,0.37,-0.21,-0.16,4,"4","2","1","1","4","3","2","4","2","2","1","1","2","2",3,"1","2","1","1","1","0","1"
"0","8","1","2","8","0","3","8","4",-0.2746,-0.7,-0.97,-0.64,-0.33,-0.05,1.38,0.49,0.33,"8","8","8","1","1","4",-1.88,-0.05,1.15,-0.01,2.5,"3","1","1","2","3","4","4","3","1","1","1","1","2","1",2,"1","2","1","1","2","0","1"
"0","8","1","2","8","0","2","8","3",0.4235,0.27,0.49,0.66,0.28,-0.05,0.16,0.3,0.9,"8","11","8","1","2","2",0.74,0.32,-0.9,-0.68,3.5,"1","1","2","1","2","3","3","3","1","1","1","1","2","2",2,"1","1","1","1","3","0","2"
"0","2","1","5","2","0","5","2","4",1.4372,-0.7,0.78,-0.8,1.69,-0.61,0.5,1.09,-0.62,"10","8","8","1","1","4",0.39,1.07,0.08,-0.52,3,"2","3","2","2","4","4","4","4","1","2","1","1","5","5",3,"1","1","1","1","1","0","1"
"0","8","1","5","8","0","3","8","5",0.1402,0.11,-0.17,0.19,0.1,-0.05,0.09,-0.04,-0.26,"6","8","8","1","2","2",-1.27,-1,1.15,1.1,3,"2","4","1","1","2","3","3","3","1","1","1","1","2","2",3,"1","2","1","2","2","0","1"
"1","8","1","2","8","0","4","8","5",0.0887,-1.33,-0.97,-1.31,0.28,-0.46,0.54,1.09,0.52,"11","6","8","1","1","1",0.61,-1.44,-0.9,-0.14,1.5,"2","1","2","1","3","3","1","3","1","1","1","1","1","1",1,"1","1","1","1","3","0","3"
"0","8","1","1","8","0","0","0","3",-0.8297,-0.7,-1.41,-0.96,-0.89,-1.02,0.16,-1,-0.94,"2","2","8","1","4","2",0.56,0.4,-0.56,-1.11,1.5,"3","1","3","3","2","2","2","2","2","2","1","2","1","1",1,"1","1","1","1","4","1","0"
"1","8","1","5","8","0","5","8","4",1.5809,-1.33,-0.17,-0.66,-0.47,-0.05,-0.23,-1.28,-0.64,"6","8","8","1","1","3",0.08,-0.04,0.14,0.52,3.5,"3","1","3","2","3","3","3","4","1","1","1","1","1","1",2,"1","1","1","1","2","0","1"
"1","6","1","2","8","0","1","6","4",-0.6008,0.9,0.1,1.72,-0.33,-0.05,0.93,1.26,0.29,"11","4","8","1","2","3",-0.24,0.78,0.55,0.95,2,"2","2","1","2","3","3","3","2","1","2","2","2","1","1",2,"1","1","1","1","2","0","0"
"1","8","1","3","8","0","3","8","7",0.1493,1.31,0.27,0.19,0.1,0.25,-1.07,0.16,0.71,"8","6","8","1","1","2",0.35,-0.19,0.26,0.59,3.5,"2","1","1","2","3","3","3","3","1","1","1","1","1","1",2,"1","1","1","1","3","0","1"
"1","8","1","3","8","0","3","8","4",0.5238,-0.3,0.1,0.49,0.1,0.25,0.5,-0.04,1.39,"8","8","8","1","4","3",-0.01,-0.33,-0.33,-0.35,4,"1","1","1","1","4","3","3","3","1","1","1","1","2","2",2,"1","1","1","1","3","0","1"
"0","2","1","4","2","0","0","0","4",1.0472,-0.3,-0.3,-1.01,0.1,-0.9,0.09,-0.37,0.59,"6","4","8","2","2","4",-1.6,-0.33,-0.49,-1.11,2,"2","2","1","1","1","2","1","3","1","2","1","2","2","1",1,"2","1","1","1","2","0","1"
"1","2","1","4","2","0","4","2","7",0.6753,-0.3,1.62,0.56,0.1,-0.59,-0.21,-0.62,1.39,"8","10","8","1","1","3",-0.53,0.11,0.61,1.1,4,"1","1","1","1","3","3","4","4","1","2","1","1","1","1",3,"1","1","1","1","4","0","1"
"1","8","0","0","0","1","2","8","2",-0.7046,0.9,0.55,0.49,1.27,-2.91,-0.67,-0.69,-1.24,"3","1","8","1","2","3",-0.99,0.39,0.33,-1.61,1.5,"3","4","1","3","3","3","3","2","1","2","2","2","1","1",1,"2","2","4","2","4","0","1"
"0","8","1","4","8","0","7","8","4",1.3291,-0.93,1.62,1.02,-0.89,-0.59,-0.17,1.34,-0.56,"10","10","8","1","1","3",0.19,1.56,1.15,1.1,3.5,"2","4","1","2","4","4","4","3","2","2","1","1","1","1",1,"1","1","1","1","3","0","1"
"1","8","1","2","8","0","3","8","5",-0.2739,-1.74,-0.61,0.49,0.1,-0.17,0.56,0.68,-0.28,"4","4","8","0","2","2",1.65,1.56,1.15,1.1,1,"3","2","2","1","2","3","2","3","2","1","1","1","2","2",4,"1","1","1","1","3","1","0"
"1","5","0","5","8","1","2","5","4",0.3972,1.31,1.62,2.08,0.28,1.83,0.54,0.68,1.09,"8","8","8","1","1","4",1.33,1.56,1.15,1.1,4,"1","1","1","2","4","4","2","4","1","1","1","1","2","2",2,"1","1","1","1","1","0","1"
"1","8","1","2","8","0","0","0","3",-1.1012,1.31,1.62,2.08,-1.03,-0.16,-2.22,1.23,-0.39,"2","11","8","1","1","1",1,1.07,-0.02,1.1,1.5,"3","2","1","3","4","3","1","2","2","2","1","1","2","2",2,"2","1","1","1","3","0","0"
"0","8","1","4","8","0","0","0","3",0.9842,-0.3,-0.17,-0.36,-0.94,-0.05,-0.68,-0.39,0.1,"10","6","8","1","2","3",-1,-2,-1.45,-2.47,2,"2","2","2","1","3","3","3","3","1","2","1","1","1","1",1,"1","1","1","2","1","0","0"
"1","6","1","2","8","0","2","8","4",-0.2606,-0.3,-0.58,0.19,-0.33,-0.05,0.16,0.85,0.52,"8","8","8","5","1","4",-2.34,-0.54,-1.32,-1.11,3.5,"2","1","2","1","3","3","2","3","1","1","1","1","2","1",2,"1","1","4","1","4","0","1"
"0","2","0","5","2","1","5","2","4",1.4132,0.11,1.62,1.72,0.15,0.25,-1.07,-0.04,1.01,"8","8","8","1","4","2",-0.66,0.58,0.14,0.45,4,"2","1","1","1","4","4","4","3","1","1","1","1","2","2",2,"1","1","1","1","2","0","1"
"1","8","1","2","8","0","0","0","4",-0.7901,-0.3,0.1,-0.29,-0.47,0.25,-0.28,-0.39,1.01,"6","11","8","1","3","2",-1.6,0.03,0.14,0.18,3,"2","1","1","1","3","3","3","3","1","1","1","1","1","1",2,"1","1","1","1","4","0","0"
"1","2","0","4","2","1","4","5","4",0.5511,1.31,-0.29,-0.16,-0.47,-0.91,-1.44,0.85,-0.32,"11","6","3","1","2","1",1.25,1.56,1.15,1.1,3,"2","3","2","1","3","4","2","4","1","1","1","1","3","3",3,"1","1","1","1","3","0","1"
"0","5","0","0","0","1","1","8","2",-0.0058,-0.3,1.34,0.3,1.69,1.83,2.03,-1.06,-0.48,"10","10","8","1","2","3",-0.83,-0.8,-1.5,-1.11,2.5,"1","4","1","3","4","4","4","2","1","1","1","1","1","1",1,"1","2","1","2","3","0","0"
"0","6","0","2","8","1","2","8","8",-0.7022,-0.3,0.1,0.19,-0.89,0.25,0.16,-0.39,1.39,"10","3","8","1","2","2",-1.07,0.62,1.02,1.1,3.5,"1","1","1","1","3","3","3","3","2","2","1","1","2","2",2,"1","2","1","1","3","0","1"
"1","8","1","2","8","0","2","8","5",-0.1112,0.27,0.94,1.32,0.1,0.25,0.16,0.52,1.01,"11","6","8","1","2","2",-1.94,-0.8,-1.5,0.2,3.5,"2","1","1","1","3","3","4","3","1","2","1","1","1","1",1,"1","1","1","1","2","0","1"
